"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-28-5p",8.86912605056967,-6.47782085543752,1.11090603300837,-5.83111502049852,5.50582145968212e-09,1.7576276198216e-08
"hsa-mir-503",13.4193534234391,6.98063373521021,1.20886614953066,5.77452990798066,7.71682227146923e-09,2.4499856501222e-08
"hsa-miR-24-2-5p",9.09525621794631,-6.45356424882514,1.1263650643855,-5.72954937336052,1.00697777669006e-08,3.17964178400504e-08
"hsa-miR-4516",11.7960397258031,-7.98229057144334,1.40016987503219,-5.70094437381022,1.19145513804904e-08,3.74181316327835e-08
"hsa-miR-942-5p",6.77273749704193,-7.17228584652727,1.25917067647373,-5.6960394492453,1.22622516152221e-08,3.83030547765808e-08
"hsa-mir-485",8.56458750272528,6.33402956979141,1.11990221326705,5.65587735675009,1.55052159727475e-08,4.81739597869856e-08
"hsa-mir-493",10.4957973677013,6.62629886762325,1.17813978716024,5.62437406820385,1.86181815635926e-08,5.75381036619537e-08
"hsa-miR-660-5p",6.80010979651949,-6.94192957252078,1.23907813529179,-5.6024954155825,2.11287626631618e-08,6.49513815200901e-08
"hsa-mir-411",5.94245905608641,5.81202658898683,1.03842026177463,5.59698881361797,2.18106774424849e-08,6.66947557583355e-08
"hsa-mir-221",12.6953970092637,6.90262790019597,1.23740889883192,5.57829178916676,2.42891976307736e-08,7.38849414841858e-08
"hsa-mir-194-2",5.90448881359756,5.80467341745942,1.04153339107449,5.57319954137149,2.50102822363363e-08,7.56821561422469e-08
"hsa-mir-93",8.32727537444708,6.2937840240526,1.14024830679067,5.51966092523041,3.3965441759609e-08,1.02248298768564e-07
"hsa-miR-1248",20.0792597472553,-8.75030473951031,1.59304010768641,-5.49283392005645,3.95534722443973e-08,1.18456532855643e-07
"hsa-mir-193b",14.5972110375954,7.10412404814574,1.3006195200746,5.46210781746401,4.70514155510673e-08,1.40189089411129e-07
"hsa-miR-485-5p",13.356167712165,-7.09730754390061,1.30061877065391,-5.45686999452754,4.84600891028555e-08,1.43649549840607e-07
"hsa-mir-654",9.84374796740966,6.53471093301547,1.19791565424903,5.45506765007762,4.89542043445055e-08,1.44377628041409e-07
"hsa-miR-98-5p",27.4623229175546,-6.45825622722266,1.18632912569019,-5.44389924125428,5.21267127931563e-08,1.52957677438504e-07
"hsa-miR-193a-5p",60.7234849440615,-5.3917861368488,1.00132839146611,-5.38463323600996,7.25925153502503e-08,2.11940961901987e-07
"hsa-mir-145",7.82991696087214,6.20234177690167,1.16260100680005,5.33488422995009,9.5605535873252e-08,2.77734081711797e-07
"hsa-miR-4508",18.4945449461468,-8.57945053452988,1.61408880612084,-5.31535222968863,1.06451207773924e-07,3.07702247346517e-07
"hsa-mir-194-1",6.05482991755715,5.83967071551826,1.10403677006843,5.28938063825203,1.22731243258559e-07,3.530042194714e-07
"hsa-miR-25-5p",7.13766820961282,-6.61927844625711,1.25600414455893,-5.27010876113121,1.36342945920014e-07,3.90222914184867e-07
"hsa-miR-362-5p",9.7278046208293,-7.62381161399021,1.45639206437115,-5.23472476985933,1.65230889125132e-07,4.70584051871087e-07
"hsa-miR-378d",2.06477671103022,-4.9657364315142,0.958977036861695,-5.17815989396873,2.24085139481573e-07,6.35090078238019e-07
"hsa-mir-126",3.11882377877752,4.88752272556773,0.96358370677664,5.07223471214284,3.93171028362701e-07,1.10390221436656e-06
"hsa-mir-30b",7.16420723831165,6.07839768770437,1.1983816333328,5.07217193474487,3.93300788939549e-07,1.10390221436656e-06
"hsa-mir-7704",7.63934099688228,6.16655334637956,1.22262798989333,5.04368736635709,4.56645182718889e-07,1.27553293826767e-06
"hsa-miR-4488",108.218082239555,-6.31082194573942,1.2600872605311,-5.00824200308123,5.49294422281787e-07,1.52698592988382e-06
"hsa-miR-10400-5p",21.2879479860759,-8.68936528722542,1.73624028457095,-5.00470203602762,5.59485046969832e-07,1.54790862994987e-06
"hsa-mir-22",11.2876524027736,6.73248045130828,1.34574070065987,5.00280659417308,5.65016199238482e-07,1.55580289932492e-06
"hsa-miR-374b-5p",4.12376753386721,-5.68955606896999,1.13817915530023,-4.99882293791368,5.76813384593122e-07,1.58079517192738e-06
"hsa-miR-511-5p",11.2421793634921,-6.05487464970631,1.2122554118545,-4.99471859683728,5.89216183805352e-07,1.60720470793854e-06
"hsa-miR-143-5p",7.95276154738854,-6.97781768644199,1.40011295685177,-4.98375338382125,6.23625550808856e-07,1.69311422906516e-06
"hsa-mir-132",5.01981477808603,5.57090065068617,1.12274229782113,4.96186939914656,6.98179361465917e-07,1.88670794889162e-06
"hsa-miR-7704",4.57039476341764,-6.4496023459252,1.30064071342678,-4.95878860268225,7.09341022650591e-07,1.90799599148145e-06
"hsa-mir-204",4.66289901027683,5.45608534818198,1.10314586435836,4.94593283124483,7.57800877434157e-07,2.02895073635597e-06
"hsa-miR-204-5p",9.41056695470221,-7.11497072565768,1.46572630868476,-4.85422870797903,1.20856193345107e-06,3.22098386850951e-06
"hsa-mir-149",3.56185751287385,5.06700130386261,1.04478472958794,4.84980413703122,1.23583444313315e-06,3.27862927607471e-06
"hsa-miR-1292-5p",7.73820644766153,-6.90477835552632,1.43801854880347,-4.80159199703758,1.57409162461203e-06,4.15535880614234e-06
"hsa-miR-382-5p",20.525973399753,-6.35182676712803,1.32308648704831,-4.80076459801081,1.58060980405758e-06,4.15535880614234e-06
"hsa-miR-106b-5p",4.92860360540301,-5.75598406754427,1.20723472811242,-4.76790795816825,1.86148786792332e-06,4.87173176244796e-06
"hsa-mir-1843",5.65741859698312,5.73776404514445,1.21279770410306,4.7310149299696,2.23400088475429e-06,5.82042382978585e-06
