"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-mir-218-2",26.0325762939794,8.9378983534654,0.757826624167636,11.7941202755741,4.18551517554203e-32,3.28619502295935e-31
"hsa-mir-218-1",26.3295098434227,8.95339729179388,0.759407604525205,11.789975815941,4.39667267145449e-32,3.40595576282008e-31
"hsa-miR-199b-5p",239.258687204354,-11.1260727417708,0.949626606980578,-11.7162605385996,1.05214572358201e-31,8.0433771763309e-31
"hsa-mir-146a",355.867182055082,12.5802463848454,1.08014370745839,11.6468265268583,2.38163658666193e-31,1.79705306084491e-30
"hsa-miR-30c-5p",535.897327895928,-10.6863793435995,0.918471798915203,-11.6349564093542,2.7372993926282e-31,2.03893711168844e-30
"hsa-miR-744-5p",22.1320319456384,-8.82462831742781,0.761018806753679,-11.5958084598087,4.32759676523295e-31,3.18270091215233e-30
"hsa-miR-181b-5p",350.449078503294,-10.4397684910573,0.906439160726508,-11.5173405379903,1.07889730742908e-30,7.80318708590259e-30
"hsa-miR-194-5p",34.6728028805427,-8.86532094862509,0.769784570034734,-11.5166259414956,1.08787978306043e-30,7.80318708590259e-30
"hsa-mir-574",38.6224935489469,9.47021699765178,0.832831877037252,11.3711029305716,5.8246883068359e-30,4.12700476374592e-29
"hsa-miR-134-5p",96.7127559957321,-10.8037738727762,0.951415163723613,-11.3554779077651,6.96579461205035e-30,4.87605622843524e-29
"hsa-miR-223-5p",103.035102918243,-10.8507675199546,0.960014534125811,-11.3027117134589,1.27227609959328e-29,8.79990968885349e-29
"hsa-miR-139-5p",75.288552705572,-9.66652301430491,0.859284541078118,-11.2495018264574,2.32903782018995e-29,1.59196585121219e-28
"hsa-miR-155-5p",737.998761391097,-11.15334253347,0.992526026822595,-11.2373300367503,2.67346078594553e-29,1.80614036817948e-28
"hsa-mir-125b-1",23.7642611443399,8.79223646134107,0.789230337391969,11.1402667190864,7.98797617104487e-29,5.33449902916904e-28
"hsa-mir-125b-2",23.2913198410202,8.76073970094162,0.794113127988934,11.0321053665589,2.67527726906855e-28,1.76629101514639e-27
