"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-106a-5p",131.478676956798,5.52985234546373,1.18183580701403,4.67903604937744,2.8822676853047e-06,6.60039299934776e-05
"hsa-miR-130b-5p",50.6326543302409,-6.25277131945026,1.34671217656113,-4.64299011197543,3.43402791432089e-06,7.48945135599509e-05
"hsa-miR-129-5p",23.7092654935618,-4.492373363448,0.977803992243162,-4.59434958241695,4.34101120703056e-06,9.03719605827272e-05
"hsa-miR-186-5p",144.328355570586,-3.02558060003983,0.665662761206481,-4.54521534982085,5.48791162180657e-06,0.000109281022729887
"hsa-miR-183-5p",148.397994566968,-3.06758355185945,0.690538513421329,-4.44230624684618,8.8999764313631e-06,0.000169841216898513
"hsa-let-7i-5p",7215.99065708288,-2.82101930938977,0.648614426712772,-4.34930089928297,1.36572213968035e-05,0.000232058021667383
"hsa-miR-126-5p",15.1692620715223,-5.36875066747476,1.23147747502079,-4.35960119155578,1.30299690531275e-05,0.000232058021667383
"hsa-miR-3196",19.3273603080195,8.25725232220217,1.89868553603368,4.34893096592047,1.36802763865051e-05,0.000232058021667383
"hsa-miR-4488",108.218082239555,-4.88020455782622,1.14621782070485,-4.25765894550934,2.06578779978529e-05,0.000337903861536308
"hsa-miR-6724-5p",6.84882805611934,6.78997111259746,1.59891101134345,4.24662227255058,2.17017369407461e-05,0.000342737776512473
"hsa-miR-483-5p",6.93936191253505,-6.03272786839914,1.4583813450966,-4.13659149486688,3.52502838416875e-05,0.000538154333316428
"hsa-miR-532-5p",142.001660120865,-2.80377734273684,0.684249848569073,-4.09759293129578,4.17468587217309e-05,0.000616776170792024
"hsa-miR-99a-5p",1663.35725893672,-2.20430731654591,0.539001977185273,-4.08960896221019,4.32101044782156e-05,0.000618444620344461
"hsa-miR-27a-5p",25.3898121119539,-5.39842488156629,1.33518171499175,-4.0432136097667,5.27235458352779e-05,0.000731738908865372
"hsa-miR-671-5p",8.71075777076989,4.65573763188727,1.15782840378732,4.02109467746525,5.79283148918218e-05,0.000780328477072188
"hsa-miR-26a-5p",2290.31406750201,-2.55981388109517,0.653463458865015,-3.91730225518845,8.95454459620681e-05,0.00113921706251742
"hsa-miR-340-5p",17.4933836995318,-3.97366068685131,1.01392050974532,-3.91910475097247,8.88784833078352e-05,0.00113921706251742
"hsa-miR-411-5p",6.8065280444203,-6.00115491419053,1.54191918758524,-3.89200352554713,9.94197999273641e-05,0.00119827022017718
"hsa-miR-629-5p",30.9236169446296,-3.18224816878385,0.816823100132414,-3.89588414953982,9.78411508426808e-05,0.00119827022017718
"hsa-miR-7705",7.60491663566661,6.61961121698499,1.71494848609871,3.85994755565151,0.000113411362552769,0.00133185651408123
"hsa-miR-493-5p",22.5562382284761,-5.00549784297784,1.29947283741002,-3.85194495712147,0.000117183366726535,0.00134174954901883
"hsa-miR-1228-5p",24.2449617128827,-7.20087712299006,1.93610860383206,-3.71925268486368,0.00019981308399921,0.00223205835296678
"hsa-miR-215-5p",48.405035047628,-2.30245556855561,0.63316627127811,-3.63641538249957,0.000276458400854492,0.00301471303788946
"hsa-miR-3690",6.04951633136613,5.70261185751219,1.58573257166298,3.59620024171654,0.000322899278447429,0.00343925277974239
"hsa-miR-1270",3.3142521176839,5.45067961808027,1.54158190658109,3.53577036342413,0.000406587959008037,0.00413816189390402
"hsa-miR-26b-5p",80.5449324210122,-2.47326993900083,0.698547783287474,-3.54058805735699,0.000399236385449351,0.00413816189390402
"hsa-miR-30c-5p",535.897327895928,2.65300249299161,0.754437826024934,3.51652899877786,0.00043722889461503,0.00435327899421052
"hsa-let-7g-5p",1587.54745208839,-2.32898579897664,0.675528578968766,-3.44764954656985,0.000565487255995578,0.00545540474249312
